source,bias,factual_reporting
dailydot.com,left,high
dailykos.com,left,mixed
dailyrecord.co.uk,left,mixed
dailysoundandfury.com,left,mixed
dallasvoice.com,left,high
deadstate.org,left,high
deadspin.com,left-center,high
democracyguardian.com,left,mixed
democracyjournal.org,left,high
democracynow.org,left,high
democraticunderground.com,left,mixed
deshabhimani.com,left,mixed
desmogblog.com,left,high
metrotimes.com,left,high
dissentmagazine.org,left,high
drudge.com,left,mixed
earthfirstjournal.news,left,mixed
ecowatch.com,left,mixed
egbertowillies.com,left,high
electoral-vote.com,left,high
elitedaily.com,left,mixed
esquire.com,left,mixed
everydayfeminism.com,left,mixed
evonomics.com,left,high
feministcurrent.com,left,mixed
fifthestate.org,left,high
finnishnews.fi,left,mixed
floridaphoenix.com,left,high
foodandwaterwatch.org,left,mixed
foreignpolicynews.org,left,mixed
freepress.org,left,mixed
ffrf.org,left,mixed
freedomnews.org.uk,left,high
frontpagelive.com,left,mixed
freespeech.org,left,mixed
gawker.com,left,mixed
gaycitynews.com,left,high
gaystarnews.com,left,mixed
gaytimes.co.uk,left,high
geopoliticsalert.com,left,mixed
georgiarecorder.com,left,high
giffords.org,left,high
gizmodo.com,left,high
glaad.org,left,high
good.is,left,high
gq.com,left,high
bradford-delong.com,left,high
greenleft.org.au,left,high
guardianlv.com,left,mixed
haaretz.com,left,high
harpersbazaar.com,left,mixed
hightimes.com,left,mixed
hillreporter.com,left,high
huffpost.com,left,mixed
hrc.org,left,high
marxist.com,left,mixed
inthesetimes.com,left,mixed
alligator.org,left,high
indivisible.org,left,mixed
inequalitymedia.org,left,high
juancole.com,left,mixed
ips-dc.org,left,mixed
intpolicydigest.org,left,high
internationalviewpoint.org,left,mixed
iowacapitaldispatch.com,left,mixed
jacobinmag.com,left,high
jezebel.com,left,high
junkee.com,left,mixed
kansasreflector.com,left,high
laweekly.com,left,mixed
lailluminator.com,left,high
mg.co.za,left,mixed
mediamatters.org,left,high
mediaite.com,left,mixed
meduza.io,left,high
meidastouch.com,left,mixed
michiganadvance.com,left,high
milwaukeeindependent.com,left,mixed
missouriindependent.com,left,high
nebraskaexaminer.com,left,high
newjerseymonitor.com,left,high
newrepublic.com,left,high
nymag.com,left,high
newyorker.com,left,high
novaramedia.com,left,mixed
nowtoronto.com,left,high
ohiocapitaljournal.com,left,mixed
opensocietyfoundations.org,left,mixed
orlandoweekly.com,left,high
out.com,left,mixed
palmerreport.com,left,mixed
penncapital-star.com,left,mixed
pinacnews.com,left,high
polinews.org,left,mixed
politicususa.com,left,high
popular.info,left,high
boldprogressives.org,left,mixed
psyche.co,left,high
rawstory.com,left,mixed
therealnews.com,left,high
resolutesquare.com,left,high
rollingstone.com,left,high
salon.com,left,mixed
sfbayview.com,left,mixed
shondaland.com,left,mixed
slate.com,left,mixed
readsludge.com,left,high
worldsocialism.org,left,mixed
southdakotasearchlight.com,left,high
splcenter.org,left,high
riverfronttimes.com,left,high
talkingpointsmemo.com,left,mixed
tnholler.com,left,high
tennesseelookout.com,left,high
19thnews.org,left,high
americanindependent.com,left,mixed
prospect.org,left,high
thecut.com,left,mixed
democratichub.com,left,mixed
thegailygrind.com,left,mixed
ghionjournal.com,left,mixed
goodmenproject.com,left,high
gravelinstitute.org,left,mixed
mavenroundtable.io,left,mixed
levernews.com,left,high
thelily.com,left,high
themilitant.com,left,mixed
thenarwhal.ca,left,high
thenation.com,left,high
palestinechronicle.com,left,high
phnompenhpost.com,left,mixed
progressive.org,left,mixed
theroot.com,left,mixed
thelasource.com,left,mixed
thestranger.com,left-center,high
texasobserver.org,left,high
villagevoice.com,left,high
voice-online.co.uk,left,mixed
thewalrus.ca,left,high
washingtonspectator.org,left,high
theweek.com,left,high
worldcantwait.net,left,mixed
thegrio.com,left,mixed
thisisthezerohour.com,left,high
them.us,left,high
this.org,left,mixed
towleroad.com,left,high
treehugger.com,left,high
truthdig.com,left-center,high
truthout.org,left,mixed
truththeory.com,left,high
unicornriot.ninja,left,high
uproxx.com,left,mixed
upworthy.com,left,mixed
vanityfair.com,left,mixed
vox.com,left,high
wallstreetonparade.com,left-center,high
washingtonbabylon.com,left,high
washingtonpress.com,left,mixed
washingtonian.com,left,high
wearyourvoicemag.com,left,high
wehuntedthemammoth.com,left,high
whowhatwhy.org,left,mixed
wonkette.com,left,mixed
workers.org,left,mixed
wsws.org,left,mixed
yesmagazine.org,left,high
tyt.com,left,mixed
100milefreepress.net,left-center,high
604now.com,left-center,mixed
972mag.com,left-center,high
go.com,left-center,high
abc.net.au,left-center,high
abc11.com,left-center,high
abbynews.com,left-center,high
abovethelaw.com,left-center,high
theadvocate.com,left-center,high
aceshowbiz.com,left-center,mixed
aclu.org,left-center,mixed
adaderana.lk,left-center,mixed
aeon.co,left-center,high
affinitymagazine.us,left-center,mixed
africanarguments.org,left-center,high
africanews.com,left-center,mixed
agassizharrisonobserver.com,left-center,high
ahvalnews.com,left-center,mixed
airdrietoday.com,left-center,high
messagemedia.co,left-center,high
durhamregion.com,left-center,high
beaconjournal.com,left-center,high
aljazeera.com,left-center,mixed
al-monitor.com,left-center,high
al-sura.com,left-center,mixed
guttmacher.org,left-center,high
alaskahighwaynews.ca,left-center,high
timesunion.com,left-center,high
albertaviews.ca,left-center,high
aldergrovestar.com,left-center,high
allgov.com,left-center,high
simcoe.com,left-center,high
northbaynipissing.com,left-center,high
amny.com,left-center,high
americamagazine.org,left-center,high
americanimmigrationcouncil.org,left-center,high
americanpurpose.com,left-center,high
amestrib.com,left-center,high
amnesty.org,left-center,high
thespec.com,left-center,high
heraldbulletin.com,left-center,high
andovertownsman.com,left-center,high
annistonstar.com,left-center,high
anthropocenemagazine.org,left-center,high
adl.org,left-center,high
aol.com,left-center,high
apmreports.org,left-center,high
apple.com,left-center,mixed
aptnnews.ca,left-center,high
areomagazine.com,left-center,high
azcapitoltimes.com,left-center,high
tucson.com,left-center,high
azdailysun.com,left-center,high
azcentral.com,left-center,high
arktimes.com,left-center,high
armscontrol.org,left-center,high
insideottawavalley.com,left-center,high
arte.tv,left-center,mixed
citizen-times.com,left-center,high
asiasentinel.com,left-center,mixed
aspeniaonline.it,left-center,high
aspeninstitute.org,left-center,high
sasktoday.ca,left-center,high
apnews.com,left-center,high
atavist.com,left-center,high
onlineathens.com,left-center,high
athensreview.com,left-center,high
enewscourier.com,left-center,high
atlantablackstar.com,left-center,mixed
ajc.com,left-center,high
theatlantic.com,left-center,high
atlanticmedia.com,left-center,high
attn.com,left-center,high
yorkregion.com,left-center,high
statesman.com,left-center,high
austindailyherald.com,left-center,high
avclub.com,left-center,high
axios.com,left-center,high
wired.com,left-center,high
balkaninsight.com,left-center,high
baltimoresun.com,left-center,high
bangordailynews.com,left-center,high
baptistnews.com,left-center,high
barrietoday.com,left-center,high
theadvocate.com,left-center,high
battlecreekenquirer.com,left-center,high
baxterbulletin.com,left-center,high
baynature.org,left-center,high
bbc.com,left-center,high
tmnews.com,left-center,high
bellingcat.com,left-center,mixed
bellinghamherald.com,left-center,high
berkeleyside.com,left-center,high
berkshireeagle.com,left-center,high
berliner-zeitung.de,left-center,mixed
bing.com,left-center,high
birminghammail.co.uk,right-center,mixed
bleacherreport.com,left-center,mixed
bloomberg.com,left-center,mixed
bdtonline.com,left-center,high
bluestemprairie.com,left-center,high
boston.com,left-center,high
bostonglobe.com,left-center,high
bgr.com,left-center,high
muskokaregion.com,left-center,high
bramptonguardian.com,left-center,high
brennancenter.org,left-center,high
enterprisenews.com,left-center,high
brookings.edu,left-center,high
thebulletin.org,left-center,high
insidehalton.com,left-center,high
hometownsource.com,left-center,high
businessinsider.com,left-center,high
bustle.com,left-center,mixed
buzzfeed.com,left-center,mixed
buzzfeednews.com,left-center,mixed
bylinetimes.com,left-center,high
caledonenterprise.com,left-center,high
cambridgetimes.ca,left-center,high
campbellrivermirror.com,left-center,high
canadaland.com,left-center,high
capitalgazette.com,left-center,high
caribbeanlifenews.com,left-center,high
carnegieendowment.org,left-center,high
carolinapublicpress.org,left-center,high
carriagetownenews.com,left-center,high
catchnews.com,left-center,mixed
cbsnews.com,left-center,high
cbslocal.com,left-center,high
cecildaily.com,left-center,high
censor.net,left-center,mixed
c4ads.org,left-center,high
cgdev.org,left-center,high
centerforinquiry.org,left-center,high
internationalpolicy.org,left-center,high
cnas.org,left-center,high
populardemocracy.org,left-center,high
publicintegrity.org,left-center,high
cbpp.org,left-center,high
focustaiwan.tw,left-center,high
chalkbeat.org,left-center,high
channel4.com,left-center,high
wvgazettemail.com,left-center,high
charlotteobserver.com,left-center,high
cheddar.com,left-center,high
cheboygannews.com,left-center,high
chemainusvalleycourier.ca,left-center,high
courierpostonline.com,left-center,high
suntimes.com,left-center,high
chickashanews.com,left-center,high
theprogress.com,left-center,high
chinaglobalsouth.com,left-center,high
citizentruth.org,left-center,mixed
citizensforethics.org,left-center,mixed
ctj.org,left-center,mixed
bloomberg.com,left-center,high
cityandstateny.com,left-center,high
claremoreprogress.com,left-center,high
cleburnetimesreview.com,left-center,high
clintonherald.com,left-center,high
cloverdalereporter.com,left-center,high
cnbc.com,left-center,mixed
coed.com,left-center,mixed
thedailyreporter.com,left-center,high
columbiatribune.com,left-center,high
cjr.org,left-center,high
colombiareports.com,left-center,mixed
dispatch.com,left-center,high
investigaterussia.org,left-center,high
commoncause.org,left-center,high
commonwealmagazine.org,left-center,high
commonwealthfund.org,left-center,high
comoxvalleyrecord.com,left-center,high
complex.com,left-center,mixed
ctpost.com,left-center,high
pogo.org,left-center,mixed
coopercrier.com,left-center,high
caller.com,left-center,high
cowichanvalleycitizen.com,left-center,high
crosscut.com,left-center,high
ctmirror.org,left-center,high
cullmantimes.com,left-center,high
dailycommercial.com,left-center,high
gazettenet.com,left-center,high
mirror.co.uk,left-center,mixed
nation.africa,left-center,mixed
dnj.com,left-center,high
commercial-news.com,left-center,high
dawn.com,left-center,mixed
dcist.com,left-center,high
dcreport.org,left-center,high
deadline.com,left-center,high
deccanherald.com,left-center,mixed
debunkingdenialism.com,left-center,high
delawareonline.com,left-center,high
delo.si,left-center,mixed
democracy21.org,left-center,high
democratandchronicle.com,left-center,high
demos.org,left-center,high
denverpost.com,left-center,high
westword.com,left-center,high
freep.com,left-center,high
zeit.de,left-center,high
digg.com,left-center,mixed
diply.com,left-center,mixed
diversityinc.com,left-center,high
dundalkeagle.com,left-center,high
dutchreview.com,left-center,mixed
dw.com,left-center,high
columbia.edu,left-center,high
earthjustice.org,left-center,high
eastbaytimes.com,left-center,high
thestar.com,left-center,high
econofact.org,left-center,high
epi.org,left-center,high
economicshelp.org,left-center,high
effinghamdailynews.com,left-center,high
egyptianstreets.com,left-center,mixed
ejinsight.com,left-center,mixed
eldiario.es,left-center,high
eldiariony.com,left-center,high
elpais.com,left-center,high
elpasotimes.com,left-center,high
eff.org,left-center,high
emerging-europe.com,left-center,mixed
engadget.com,left-center,high
ew.com,left-center,high
orangeville.com,left-center,high
espn.com,left-center,high
registerguard.com,left-center,high
euobserver.com,left-center,high
euractiv.com,left-center,high
eurasiareview.com,neutral,high
euromaidanpress.com,left-center,high
euronews.com,left-center,high
courierpress.com,left-center,high
exposingtruth.com,left-center,high
facebook.com,left-center,high
factmyth.com,left-center,high
fair.org,left-center,high
fairobserver.com,left-center,high
fairvote.org,left-center,high
southernminn.com,left-center,high
fastcompany.com,left-center,high
feministfrequency.com,left-center,high
fightforthefuture.org,left-center,high
fivethirtyeight.com,left-center,high
foodnavigator.com,left-center,mixed
fpif.org,left-center,high
niagarathisweek.com,left-center,high
fwweekly.com,left-center,high
francetvinfo.fr,left-center,high
freakonomics.com,left-center,high
freethink.com,left-center,high
fresnobee.com,left-center,high
gadsdentimes.com,left-center,high
gainesville.com,left-center,high
wyborcza.pl,left-center,high
glamour.com,left-center,high
globalcitizen.org,left-center,high
globalnews.ca,left-center,high
theworld.org,left-center,high
globalriskinsights.com,left-center,high
globaltimes.cn,left,mixed
gmanetwork.com,left-center,mixed
goldstreamgazette.com,left-center,high
google.com,left-center,mixed
gothamist.com,left-center,high
governing.com,left-center,high
whistleblower.org,left-center,high
govexec.com,left-center,high
grandrapidsmn.com,left-center,high
greensboro.com,left-center,high
greensburgdailynews.com,left-center,high
grid.news,left-center,high
grist.org,left-center,high
alliednews.com,left-center,high
guelphmercury.com,left-center,high
gunviolencearchive.org,left-center,high
heraldmailmedia.com,left-center,high
hamiltonnews.com,left-center,high
thespec.com,left-center,high
harpers.org,left-center,high
courant.com,left-center,high
harvardpolitics.com,left-center,high
hattiesburgamerican.com,left-center,high
hawaiitribune-herald.com,left-center,high
healthyway.com,left-center,mixed
heavy.com,left-center,high
hechingerreport.org,left-center,high
hs.fi,left-center,high
helsinkitimes.fi,neutral,high
thegleaner.com,left-center,high
hcn.org,left-center,high
hillsdale.net,left-center,high
historynewsnetwork.org,left-center,high
hitc.com,left-center,mixed
hollandsentinel.com,left-center,high
hollywoodreporter.com,left-center,high
civilbeat.org,left-center,high
staradvertiser.com,left-center,high
hopestandard.com,left-center,high
hotnews.ro,left-center,high
houmatoday.com,left-center,high
hrw.org,left-center,high
humanium.org,left-center,high
icenews.is,left-center,mixed
idahopress.com,left-center,high
ifamericaknew.org,left-center,high
iflscience.com,left-center,high
independentaustralia.net,left-center,high
index.hr,left-center,high
inews.co.uk,left-center,high
infobae.com,left-center,high
inquisitr.com,left-center,mixed
insideedition.com,left-center,high
insideevs.com,left-center,high
insidehighered.com,left-center,high
insidephilanthropy.com,left-center,high
insider.com,left-center,high
instituteforgovernment.org.uk,left-center,high
imeu.org,left-center,high
itep.org,left-center,high
ibtimes.com,left-center,mixed
interpretermag.com,left-center,high
inverse.com,left-center,high
press-citizen.com,left-center,high
irishmirror.ie,left-center,mixed
israel21c.org,left-center,high
jalopnik.com,left-center,high
newsandtribune.com,left-center,high
joe.co.uk,left-center,mixed
joe.ie,left-center,mixed
kff.org,left-center,high
khn.org,left-center,high
thepeterboroughexaminer.com,left-center,high
kbrw.org,left-center,high
kcrw.com,left-center,high
cbsnews.com,left-center,high
kenoshanews.com,left-center,high
abc30.com,left-center,high
abc7news.com,left-center,high
kilgorenewsherald.com,left-center,high
kiyu.com,left-center,high
nbcdfw.com,left-center,high
kokomotribune.com,left-center,high
kpic.com,right-center,high
kqed.org,left-center,high
alaskapublic.org,left-center,high
abc13.com,left-center,high
idahopress.com,left-center,high
kuow.org,left-center,high
kyivindependent.com,left-center,high
kyivpost.com,left-center,mixed
kyuk.org,left-center,high
laconiadailysun.com,left-center,high
ladepeche.fr,left-center,high
ladysmithchronicle.com,left-center,high
theadvertiser.com,left-center,high
jconline.com,left-center,high
lakecowichangazette.com,left-center,high
lajuntatribunedemocrat.com,left-center,high
langleyadvancetimes.com,left-center,high
lapresse.ca,left-center,high
repubblica.it,left-center,high
lastampa.it,left-center,high
latimes.com,left-center,high
reporter.net,left-center,high
leftjustified.com,left-center,mixed
lemonde.fr,left-center,high
liberation.fr,left-center,high
lincolncourier.com,left-center,high
livingstondaily.com,left-center,high
lamag.com,left-center,high
macleans.ca,left-center,high
malaysiakini.com,left-center,mixed
mb.com.ph,left-center,mixed
somdnews.com,left-center,high
marshallnewsmessenger.com,left-center,high
reporter-times.com,left-center,high
marylandmatters.org,left-center,high
mcdonoughvoice.com,left-center,high
mediapart.fr,left-center,high
medium.com,left-center,mixed
menshealth.com,left-center,mixed
mensjournal.com,left-center,mixed
metro.co.uk,left-center,mixed
nhregister.com,left-center,high
miamiherald.com,left-center,high
middleeasteye.net,left-center,mixed
milforddailynews.com,left-center,high
unionrecorder.com,left-center,high
mississauga.com,left-center,high
mississippitoday.org,left-center,high
moneytalksnews.com,left-center,high
mongabay.com,left-center,high
montgomeryadvertiser.com,left-center,high
morningbrew.com,left-center,high
themoscowtimes.com,left-center,high
motherjones.com,left-center,high
moultrieobserver.com,left-center,high
msn.com,left-center,high
thestarpress.com,left-center,high
mycentraljersey.com,left-center,high
nanaimobulletin.com,left-center,high
nationalnewswatch.com,left-center,mixed
nationalobserver.com,left-center,high
youthrights.org,left-center,high
nbcphiladelphia.com,left-center,high
nbcchicago.com,left-center,high
nbclosangeles.com,left-center,high
nbcnews.com,left-center,high
nbcnewyork.com,left-center,high
ndtv.com,left-center,mixed
newamerica.org,left-center,high
southcoasttoday.com,left-center,high
ncnewsonline.com,left-center,high
newhamburgindependent.ca,left-center,high
newscentermaine.com,left-center,high
nydailynews.com,left-center,high
nytimes.com,left-center,high
newser.com,left-center,high
newsy.com,left-center,high
niagarafallsreview.ca,left-center,high
niagara-gazette.com,left-center,high
niemanlab.org,left-center,high
northdeltareporter.com,left-center,high
northislandgazette.com,left-center,high
therecord.com,left-center,high
norwichbulletin.com,left-center,high
novinky.cz,left-center,mixed
nrc.nl,left-center,high
npr.org,left-center,high
oakbaynews.com,left-center,high
ocala.com,left-center,high
oneindia.com,left-center,mixed
dailyworld.com,left-center,high
oskaloosa.com,left-center,high
ottumwacourier.com,left-center,high
ourworldindata.org,left-center,high
palmbeachdailynews.com,left-center,high
panolawatchman.com,left-center,high
newsherald.com,left-center,high
pqbnews.com,left-center,high
parrysound.com,left-center,high
patrioticmillionaires.org,left-center,high
pbs.org,left-center,high
peacearchnews.com,left-center,high
pekintimes.com,left-center,high
peninsulanewsreview.com,left-center,high
petoskeynews.com,left-center,high
pharostribune.com,left-center,high
inquirer.com,left-center,high
phillyvoice.com,left-center,high
politico.com,left-center,high
politico.eu,left-center,high
politics.co.uk,left-center,high
politifact.com,left-center,high
polygon.com,left-center,high
pontiacdailyleader.com,left-center,high
populationconnection.org,left,high
albernivalleynews.com,left-center,high
seacoastonline.com,left-center,high
hjnews.com,left-center,high
project-syndicate.org,left-center,high
propublica.org,left-center,high
protocol.com,left-center,high
publicnewsservice.org,left-center,high
publico.es,left-center,high
puck.news,left-center,mixed
chieftain.com,left-center,high
qz.com,left-center,high
patriotledger.com,left-center,high
radiotelevisionmarti.com,left-center,mixed
rappler.com,left-center,high
religionandpolitics.org,left-center,high
pal-item.com,left-center,high
ridgecrestca.com,left-center,high
rocketnews.com,left-center,mixed
rrstar.com,left-center,high
heraldonline.com,left-center,high
salina.com,left-center,high
delmarvanow.com,left-center,high
sanluisobispo.com,left-center,high
sapiens.org,left-center,high
sciencing.com,left-center,high
seattletimes.com,left-center,high
self.com,left-center,mixed
sentencingproject.org,left-center,high
snopes.com,left-center,mixed
somerset-kentucky.com,left-center,high
scmp.com,left-center,mixed
sbs.com.au,left-center,high
spin.com,left-center,high
news-leader.com,left-center,high
staugustine.com,left-center,high
stamfordadvocate.com,left-center,high
newsaegis.com,left-center,high
stopfake.org,left-center,high
sturgisjournal.com,left-center,high
agriculture.com,left-center,high
sueddeutsche.de,left-center,high
surreynowleader.com,left-center,high
taiwannews.com.tw,left-center,mixed
tampabay.com,left-center,high
taskandpurpose.com,left-center,mixed
tauntongazette.com,left-center,high
tcpalm.com,left-center,high
tribstar.com,left-center,high
texastribune.org,left-center,high
the74million.org,left-center,high
theage.com.au,left-center,high
belfercenter.org,left-center,high
cepr.net,left-center,high
thecity.nyc,left-center,high
coloradoan.com,left-center,high
coloradosun.com,left-center,high
canadians.org,left-center,high
thedailystar.com,left-center,high
dominionpost.com,left-center,high
thefulcrum.us,left-center,high
thegardenisland.com,left-center,high
heraldscotland.com,left-center,high
goshennews.com,left-center,high
theguardian.com,left-center,mixed
thehawkeye.com,left-center,high
hilltimes.com,left-center,high
hutchnews.com,left-center,high
independent.co.uk,left-center,mixed
theintercept.com,left,mixed
irishexaminer.com,left-center,mixed
irishtimes.com,left-center,high
irrawaddy.com,left-center,high
thejournal.ie,left-center,high
journalistsresource.org,left-center,high
koreatimes.co.kr,left-center,mixed
lincolnproject.us,left-center,mixed
thelist.com,left-center,mixed
mauinews.com,left-center,high
fool.com,left-center,high
thenational.scot,left-center,high
thenextweb.com,left-center,mixed
theguardian.com,left-center,mixed
theodysseyonline.com,left-center,mixed
theolympian.com,left-center,high
palmbeachpost.com,left-center,high
pennlive.com,left-center,high
cleveland.com,left-center,high
pressdemocrat.com,left-center,high
punchng.com,left-center,mixed
thequint.com,left-center,high
northjersey.com,neutral,high
therighting.com,left-center,high
theringer.com,left-center,high
santafenewmexican.com,left-center,high
thesaturdaypaper.com.au,left-center,high
sooeveningnews.com,left-center,high
theskimm.com,left-center,high
thestate.com,left-center,high
sj-r.com,left-center,high
statepress.com,left-center,high
thesunmagazine.org,left-center,high
smh.com.au,left-center,high
thetab.com,left-center,high
thetrace.org,left-center,high
thetyee.ca,left-center,high
thevarsity.ca,left-center,high
theverge.com,left-center,high
pilotonline.com,left-center,high
theweek.co.uk,left-center,high
wilderness.org,left-center,high
thewire.in,left-center,mixed
thewrap.com,left-center,mixed
dailycomet.com,left-center,high
timesenterprise.com,left-center,high
trust.org,left-center,high
thrillist.com,left-center,high
tiftongazette.com,left-center,high
time.com,left-center,high
timescolonist.com,left-center,high
timesheadline.com,left-center,mixed
timesofisrael.com,left-center,high
nola.com,left-center,high
tmz.com,left-center,mixed
today.com,left-center,mixed
tomdispatch.com,left-center,high
cjonline.com,left-center,high
thestar.com,left-center,high
truthbetold.news,left-center,high
tuscaloosanews.com,left-center,high
tvanouvelles.ca,left-center,mixed
uawire.org,left-center,mixed
undark.org,left-center,high
ucsusa.org,neutral,mixed
uft.org,left-center,high
uscis.gov,left-center,high
universitybusiness.com,left-center,high
un.org,left-center,high
pravda.com.ua,left-center,mixed
urban.org,left-center,high
usatoday.com,left-center,mixed
usnews.com,left-center,high
upr.org,left-center,high
uticaod.com,left-center,high
centerforpolitics.org,left-center,high
valdostadailytimes.com,left-center,high
variety.com,left-center,high
vcstar.com,left-center,high
verafiles.org,left-center,high
vibe.com,left-center,mixed
vice.com,left-center,mixed
victoriaadvocate.com,left-center,high
victoriabuzz.com,left-center,high
vvdailypress.com,left-center,high
virginiamercury.com,left-center,high
visaliatimesdelta.com,left-center,high
vladtv.com,left-center,mixed
voiceofsandiego.org,left-center,high
votevets.org,left-center,mixed
vtdigger.org,left-center,high
vulture.com,left-center,high
walesonline.co.uk,left-center,high
wamu.org,left-center,high
washingtonblade.com,left-center,high
washingtonmonthly.com,left-center,high
wola.org,left-center,high
washingtonpost.com,left-center,mixed
apr.org,left-center,high
nbcboston.com,left-center,high
westhawaiitoday.com,left-center,high
whdh.com,left-center,high
whitehouse.gov,left-center,mixed
wikileaks.org,left-center,mixed
wired.com,left-center,high
wishtv.com,left-center,high
wjab.org,left-center,high
wlrh.org,left-center,high
wnyc.org,left-center,high
wilsoncenter.org,left-center,high
broadenimpact.com,left-center,high
worldcrunch.com,left-center,high
weforum.org,left-center,high
worldpress.org,left-center,mixed
wri.org,left-center,high
6abc.com,left-center,high
nbcwashington.com,left-center,high
wsvn.com,left-center,high
nbcmiami.com,left-center,high
wvasfm.org,left-center,high
yahoo.com,left-center,high
yale.edu,left-center,high
ynetnews.com,left-center,high
ydr.com,left-center,high
yorkdispatch.com,left-center,high
yr.media,left-center,high
7news.com.au,right-center,mixed
9news.com.au,right-center,high
19fortyfive.com,right-center,mixed
abc.es,right-center,high
theadvocates.org,right-center,mixed
ahram.org.eg,right-center,mixed
airdrieecho.com,right-center,high
al.com,right-center,high
altoday.com,right-center,mixed
shelbycountyreporter.com,right-center,high
abqjournal.com,right-center,high
aleteia.org,right-center,mixed
alexcityoutlook.com,right-center,high
echopress.com,right-center,high
americanactionforum.org,right-center,mixed
americanaffairsjournal.org,right-center,high
acsh.org,right-center,high
americanfirearms.org,right-center,high
aier.org,right-center,mixed
americanmilitarynews.com,right-center,mixed
americasquarterly.org,right-center,high
americustimesrecorder.com,right-center,high
anchoragepress.com,right-center,high
andalusiastarnews.com,right-center,high
angusreid.org,right-center,high
saltwire.com,right-center,high
antiwar.com,right-center,mixed
appledaily.com,right-center,mixed
arcamax.com,right-center,mixed
argusleader.com,right-center,high
arkansasonline.com,right-center,high
israelnationalnews.com,right-center,mixed
aawsat.com,right-center,mixed
aninews.in,right-center,mixed
atchisonglobenow.com,right-center,high
atlanticcouncil.org,right-center,high
atmoreadvance.com,right-center,high
aynrand.org,right-center,mixed
thepostsearchlight.com,right-center,high
bangkokpost.com,right-center,mixed
barrons.com,right-center,high
guardonline.com,right-center,high
beavercreeknewscurrent.com,right-center,high
beinglibertarian.com,right-center,mixed
bemidjipioneer.com,right-center,high
berlingske.dk,right-center,mixed
bild.de,right-center,mixed
billingsgazette.com,right-center,high
bipartisanpolicy.org,right-center,mixed
bnr.nl,right-center,mixed
boomlive.in,right-center,high
bostonherald.com,right-center,high
bgdailynews.com,right-center,high
thecragandcanyon.ca,right-center,high
brainerddispatch.com,right-center,high
breakingdefense.com,right-center,high
thebreakthrough.org,right-center,high
brewtonstandard.com,right-center,high
bryantimes.com,right-center,high
bt.dk,right-center,mixed
batimes.com.ar,right-center,high
businesslive.co.za,right-center,mixed
business-standard.com,right-center,mixed
californiaglobe.com,right-center,mixed
capoliticalreview.com,right-center,mixed
campaignforliberty.org,right-center,mixed
capitalismmagazine.com,right-center,mixed
cato.org,right-center,high
ccn.com,right-center,high
cftni.org,right-center,mixed
checkyourfact.com,right-center,high
chicagotribune.com,right-center,high
chinadigitaltimes.net,right-center,mixed
christianitytoday.com,right-center,high
clantonadvertiser.com,right-center,high
clarin.com,right-center,high
cochranetimes.com,right-center,high
saltwire.com,right-center,high
coldlakesun.com,right-center,high
gazette.com,right-center,high
columbiadailyherald.com,left-center,high
crfb.org,right-center,high
newsexaminer.com,right-center,high
cordeledispatch.com,right-center,high
dn.se,right-center,high
dailyherald.com,right-center,high
mininggazette.com,right-center,high
dailypress.com,right-center,high
dailyo.in,right-center,mixed
dallasnews.com,right-center,high
amnews.com,right-center,high
volkskrant.nl,right-center,high
deccanchronicle.com,right-center,mixed
delgazette.com,right-center,high
demopolistimes.com,right-center,high
denvergazette.com,right-center,high
desertsun.com,right-center,high
dl-online.com,right-center,high
deutschland.de,right-center,mixed
devondispatch.ca,right-center,high
diepresse.com,right-center,high
welt.de,right-center,high
douglascountysentinel.com,right-center,high
downsizinggovernment.org,right-center,high
draytonvalleywesternreview.com,right-center,high
drudgereport.com,right-center,mixed
registerherald.com,right-center,high
thewetumpkaherald.com,right-center,high
ecuavisa.com,right-center,mixed
edmontonexaminer.com,right-center,mixed
edmontonjournal.com,right-center,high
edmontonsun.com,right-center,high
thenewsenterprise.com,right-center,high
elmundo.es,right-center,mixed
eluniverso.com,right-center,high
endtimeheadlines.org,right-center,mixed
entrepreneur.com,right-center,high
ekirikas.com,right-center,mixed
expressen.se,right-center,mixed
fairborndailyherald.com,right-center,high
fairviewpost.com,right-center,high
faithfamilyamerica.com,right-center,mixed
longwarjournal.org,right-center,high
financialexpress.com,right-center,mixed
financialpost.com,right-center,mixed
firearmsnews.com,right-center,mixed
firstpost.com,right-center,mixed
fitchratings.com,right-center,high
fitsnews.com,right,mixed
forbes.com,right-center,mixed
fpri.org,right-center,high
fbherald.com,right-center,high
fortmcmurraytoday.com,right-center,high
fortnightlyreview.co.uk,right-center,high
fortune.com,right-center,high
fee.org,right-center,mixed
foxbusiness.com,right-center,mixed
foxillinois.com,right-center,high
ftimes.com,right-center,high
faz.net,right-center,high
dailyjournal.net,right-center,high
franklinnews.org,right-center,mixed
fraserinstitute.org,right-center,mixed
freedomhouse.org,right-center,high
fcnews.org,right-center,high
mydailytribune.com,right-center,high
galvnews.com,right-center,high
geo.tv,right-center,mixed
godupdates.com,right-center,mixed
gp.se,right-center,mixed
grandforksherald.com,right-center,high
mlive.com,right-center,high
greeleytribune.com,right-center,high
greenfieldreporter.com,right-center,high
greenvilleadvocate.com,right-center,high
dailyadvocate.com,right-center,high
griffindailynews.com,right-center,high
guns.com,right-center,high
hammondstar.com,right-center,high
hannaherald.com,right-center,high
